Operon_1	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_16
Operon_2	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_22
Operon_2	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_23
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_24
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_25
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_26
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_27
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_28
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_29
Operon_3	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_30
Operon_4	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_31
Operon_5	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_32
Operon_6	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_33
Operon_6	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_34
Operon_7	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_35
Operon_8	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_36
Operon_8	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_37
Operon_8	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_38
Operon_8	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_39
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_41
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_42
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_43
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_44
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_45
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_46
Operon_9	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_47
Operon_10	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_48
Operon_10	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_49
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_50
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_51
Operon_11	IMGVR_UViG_2512564074_000004|2512564074|2512571865|2172747-2228723_52
